Sample_ID,Label,UTM_Est,UTM_Nord,MASL,Trunk_Circumference
OIR70,OIR,505114.009,4546519.763,407,1.15
OIR72,OIR,505125.568,4546453.958,402,0.58
OIR73,OIR,484388.533,4511846.879,443,1.63
OIR74,OIR,484418.576,4511861.308,437,1.75
OSE1,OSE,520757.795,4499601.219,256,1.69
OSE2,OSE,523410.415,4498753.479,267,2.1
OSE5,OSE,522474.797,4499750.626,243,2.98
OSE6,OSE,521834.712,4499540.143,217,2.87
OSE7,OSE,521835.141,4499595.535,229,4.12
OSE10,OSE,519350.058,4504207.085,389,3.5
OSE11,OSE,519344.176,4504210.855,365,2.61
OSE12,OSE,519472.355,4505806.091,207,2.3
OSE15,OSE,519584.318,4505827.255,197,1.97
OSE16,OSE,520033.547,4507182.935,191,1.89
OSE17,OSE,520033.166,4507189.55,177,1.55
OSE18,OSE,519573.264,4509823.184,257,3.1
OSE19,OSE,519798.523,4510236.945,244,3.72
OSE20,OSE,519786.42,4510248.346,244,1.6
OSE22,OSE,519758.663,4510747.574,272,1.6
OSE23,OSE,519771.273,4510735.842,263,1.4
OSE24,OSE,519376.47,4513398.27,330,2.1
OSE25,OSE,519375.582,4513382.727,342,2.35
OSE26,OSE,519319.618,4513937.167,393,2.26
OSE27,OSE,519323.598,4513938.432,384,2.35
OSE29,OSE,520398.898,4517187.444,346,2.7
OSE31,OSE,519091.557,4517846.997,400,2.46
OSE32,OSE,519116.592,4517852.39,401,2.48
OSE34,OSE,519494.454,4517175.791,396,2.03
OSE36,OSE,519556.3,4517169.072,377,2.45
OSE37,OSE,519255.934,4516714.711,441,2.12
